 22 , 1953 ,  8.0, 56.4
 23 , 1954 ,  4.0, 27.2
 24 , 1956 ,  9.0, 66.2
 25 , 1957 ,  9.0, 40.9
 26 , 1958 ,  1.0,  5.7
 27 , 1959 ,  2.0,  9.3
 28 , 1960 ,  8.0, 55.2
 29 , 1961 , 13.0, 71.9
 30 , 1962 ,  9.0, 55.6
 31 , 1963 ,  5.0, 36.3
 32 , 1964 ,  5.0, 24.7
 33 , 1966 ,  1.0,  6.3
 34 , 1967 , 10.0, 63.6
 35 , 1968 , 12.0, 62.0
 36 , 1969 ,  8.0, 44.0
 37 , 1970 ,  3.0, 10.6
 38 , 1971 ,  8.0, 33.2
 39 , 1972 ,  4.0, 34.4
 40 , 1973 ,  9.0, 51.9
 41 , 1974 ,  5.0, 33.6
 42 , 1975 ,  4.0, 28.0
 43 , 1976 , 21.0,115.7
 44 , 1977 , 11.0, 75.3
 45 , 1979 , 17.0, 97.4
 46 , 1980 , 17.0, 94.8
 47 , 1981 ,  4.0, 21.2
 48 , 1982 ,  9.0, 53.6
 49 , 1983 ,  6.0, 40.4
 50 , 1984 , 23.0,150.6
 51 , 1985 , 24.0,163.8
 52 , 1986 , 19.0,106.6
 53 , 1987 , 40.0,230.8
 54 , 1988 , 14.0, 98.4
 55 , 1989 , 27.0,174.0
 56 , 1990 , 11.0, 59.7
 57 , 1991 ,  2.0, 10.3
 58 , 1992 ,  4.0, 18.8
 59 , 1993 , 16.0,103.6
 60 , 1994 ,  5.0, 45.0
 61 , 1995 , 11.0, 75.3
 62 , 1996 , 12.0, 72.8
 63 , 1997 , 53.0,331.3
 64 , 1998 , 34.0,193.5
 65 , 1999 , 17.0,108.7
 66 , 2000 ,  5.0, 32.7
 1 , 1910 ,  4.0, 22.8
 2 , 1919 ,  1.0,  6.8
 3 , 1920 ,  4.0, 20.0
 4 , 1921 ,  5.0, 33.6
 5 , 1925 , 12.0, 78.0
 6 , 1928 ,  4.0, 22.8
 7 , 1930 ,  1.0,  6.3
 8 , 1937 ,  4.0, 22.4
 9 , 1938 ,  4.0, 22.4
 10 , 1939 ,  2.0, 12.2
 11 , 1940 ,  4.0, 24.8
 12 , 1942 ,  1.0,  5.8
 13 , 1943 ,  3.0, 16.6
 14 , 1944 ,  9.0, 56.6
 15 , 1945 ,  4.0, 15.2
 16 , 1946 ,  8.0, 48.4
 17 , 1947 ,  4.0, 23.6
 18 , 1948 ,  1.0,  7.6
 19 , 1950 ,  9.0, 55.4
 20 , 1951 ,  8.0, 51.6
